Name,Tag,detail
아다미식당,점심식사 점심식사 점심식사 점심식사 점심식사 점심식사 점심식사 점심식사 혼밥 혼밥 혼밥 혼밥 혼밥 저녁식사 저녁식사 저녁식사 저녁식사 혼술 아침식사 서민적인 서민적인 서민적인 서민적인 서민적인 서민적인 서민적인 서민적인 서민적인 서민적인 서민적인 시끌벅적한 시끌벅적한 시끌벅적한 시끌벅적한 시끌벅적한 가성비좋은 가성비좋은 가성비좋은 가성비좋은 숨은맛집 숨은맛집 숨은맛집 캐주얼한 캐주얼한 푸짐한 푸짐한 ,수원역 | 순대국   따로국밥
닝교초식당,점심식사 점심식사 점심식사 점심식사 저녁식사 저녁식사 저녁식사 혼밥 혼밥 혼밥 데이트 데이트 데이트 식사모임 이국적/이색적 이국적/이색적 이국적/이색적 이국적/이색적 이국적/이색적 깔끔한 깔끔한 깔끔한 깔끔한 조용한 조용한 조용한 조용한 가성비좋은 가성비좋은 가성비좋은 캐주얼한 캐주얼한 캐주얼한 예쁜 예쁜 예쁜 서민적인 서민적인 서민적인 숨은맛집 숨은맛집 푸짐한 ,수원역 | 돈부리   벤또
이가꽈배기,,수원역 | 꽈배기   전병
훌리오,저녁식사 이국적/이색적 이국적/이색적 조용한 ,수원역 | 멕시칸요리   멕시코
브리오슈 도레,간식 점심식사 시끌벅적한 시끌벅적한 시끌벅적한 깔끔한 예쁜 서민적인 캐주얼한 ,수원 | 브런치   카페
오뱅,저녁식사 점심식사 데이트 예쁜 예쁜 조용한 ,수원역 | 와인바   레스토랑
니뽕내뽕 수원역점,점심식사 점심식사 점심식사 점심식사 저녁식사 저녁식사 저녁식사 데이트 데이트 데이트 캐주얼한 캐주얼한 캐주얼한 캐주얼한 캐주얼한 캐주얼한 가성비좋은 가성비좋은 가성비좋은 가성비좋은 가성비좋은 푸짐한 푸짐한 푸짐한 푸짐한 서민적인 서민적인 예쁜 예쁜 시끌벅적한 이국적/이색적 ,수원역 | 퓨전짬뽕   짬뽕
트라토리아 식구,저녁식사 저녁식사 저녁식사 저녁식사 점심식사 점심식사 점심식사 점심식사 데이트 데이트 데이트 데이트 가족외식 가족외식 기념일 기념일 조용한 조용한 조용한 조용한 조용한 조용한 숨은맛집 숨은맛집 숨은맛집 숨은맛집 깔끔한 깔끔한 깔끔한 깔끔한 가성비좋은 가성비좋은 가성비좋은 캐주얼한 캐주얼한 캐주얼한 격식있는 격식있는 푸짐한 이국적/이색적 서민적인 ,수원역 | 파스타   스테이크
모모스테이크,점심식사 점심식사 점심식사 데이트 데이트 데이트 혼밥 혼밥 저녁식사 가성비좋은 가성비좋은 가성비좋은 가성비좋은 서민적인 서민적인 서민적인 깔끔한 깔끔한 캐주얼한 고급스러운 ,수원역 | 스테이크   스테이크정식
새우상회,저녁식사 저녁식사 저녁식사 저녁식사 데이트 술모임 점심식사 시끌벅적한 시끌벅적한 시끌벅적한 시끌벅적한 시끌벅적한 가성비좋은 가성비좋은 가성비좋은 서민적인 서민적인 캐주얼한 캐주얼한 푸짐한 푸짐한 깔끔한 고급스러운 숨은맛집 ,수원역 | 연어무한리필   연어
토끼정 수원역사점,데이트 데이트 데이트 데이트 데이트 점심식사 점심식사 점심식사 점심식사 저녁식사 저녁식사 저녁식사 식사모임 식사모임 식사모임 가족외식 가족외식 가족외식 기념일 기념일 혼밥 예쁜 예쁜 예쁜 예쁜 예쁜 예쁜 예쁜 예쁜 깔끔한 깔끔한 깔끔한 깔끔한 깔끔한 깔끔한 깔끔한 깔끔한 고급스러운 고급스러운 고급스러운 이국적/이색적 이국적/이색적 이국적/이색적 캐주얼한 캐주얼한 조용한 조용한 서민적인 서민적인 푸짐한 가성비좋은 시끌벅적한 ,수원역 | 크림카레우동   일본가정식
폴바셋,깔끔한 깔끔한 깔끔한 캐주얼한 캐주얼한 캐주얼한 시끌벅적한 ,수원역 | 프라페   아이스크림
룰루랄라,점심식사 저녁식사 가성비좋은 가성비좋은 가성비좋은 조용한 조용한 캐주얼한 숨은맛집 ,수원역 | 파스타   목살스테이크
하회마을포차,점심식사 점심식사 저녁식사 술모임 식사모임 서민적인 서민적인 서민적인 시끌벅적한 시끌벅적한 캐주얼한 캐주얼한 지역주민이찾는 숨은맛집 가성비좋은 ,수원역 | 찜닭   포차
강원도막국수,서민적인 ,수원역 | 막국수   메밀부침
꽁시면관,점심식사 점심식사 점심식사 가족외식 가족외식 저녁식사 저녁식사 캐주얼한 캐주얼한 캐주얼한 캐주얼한 캐주얼한 서민적인 서민적인 깔끔한 ,수원 | 소룡포   중국집
반포식스 수원AK점,점심식사 저녁식사 깔끔한 깔끔한 시끌벅적한 시끌벅적한 ,수원역 | 샐러드바   샤브샤브
본죽앤비빔밥,점심식사 저녁식사 깔끔한 깔끔한 서민적인 서민적인 ,수원역 | 불낙죽   비빔밥
초밥왕,점심식사 점심식사 점심식사 데이트 저녁식사 혼밥 가성비좋은 가성비좋은 가성비좋은 가성비좋은 가성비좋은 서민적인 서민적인 푸짐한 푸짐한 조용한 숨은맛집 캐주얼한 ,수원역 | 초밥   연어덮밥
스시오,저녁식사 저녁식사 서민적인 서민적인 시끌벅적한 가성비좋은 ,수원역 | 스시부페   스시
도쿄하야시라이스클럽,점심식사 시끌벅적한 캐주얼한 ,수원역 | 하야시라이스   카레
열대야,간식 간식 데이트 데이트 조용한 조용한 조용한 조용한 조용한 깔끔한 깔끔한 깔끔한 깔끔한 깔끔한 예쁜 예쁜 예쁜 예쁜 이국적/이색적 이국적/이색적 ,수원역 | 카페
서가앤쿡,점심식사 점심식사 점심식사 데이트 저녁식사 푸짐한 푸짐한 푸짐한 깔끔한 깔끔한 깔끔한 예쁜 가성비좋은 서민적인 캐주얼한 ,수원역 | 목살스테이크   목살
파파육개장,점심식사 점심식사 가족외식 혼밥 저녁식사 서민적인 서민적인 깔끔한 캐주얼한 시끌벅적한 ,수원역 | 육개장   화산계란찜
아웃닭 수원역점,술모임 술모임 저녁식사 캐주얼한 캐주얼한 캐주얼한 푸짐한 푸짐한 시끌벅적한 시끌벅적한 가성비좋은 ,수원역 | 치킨집   치킨
오늘와인한잔 수원역점,술모임 기념일 데이트 가성비좋은 가성비좋은 캐주얼한 캐주얼한 깔끔한 예쁜 시끌벅적한 ,수원역 | 와인바   수제맥주
미미네,점심식사 점심식사 점심식사 간식 캐주얼한 캐주얼한 서민적인 서민적인 시끌벅적한 깔끔한 ,수원 | 국물떡볶이   김말이튀김
홍콩반점0410,점심식사 저녁식사 조용한 조용한 캐주얼한 캐주얼한 서민적인 가성비좋은 깔끔한 ,수원역 | 볶음짬뽕   탕수육
도쿄스테이크,조용한 ,수원역 | 스테이크   등심스테이크
낙원타코 롯데몰수원점,점심식사 점심식사 저녁식사 저녁식사 가족외식 식사모임 데이트 캐주얼한 캐주얼한 캐주얼한 이국적/이색적 이국적/이색적 이국적/이색적 시끌벅적한 시끌벅적한 깔끔한 ,수원역 | 타코   멕시칸
백철판0410,저녁식사 점심식사 시끌벅적한 시끌벅적한 가성비좋은 캐주얼한 서민적인 ,수원역 | 닭갈비   철판닭갈비
아웃백 수원역사점,데이트 캐주얼한 깔끔한 ,수원역 | 투움바파스타   스테이크
라이스앤파스타,데이트 점심식사 저녁식사 조용한 가성비좋은 깔끔한 서민적인 ,수원롯데몰 | 오므라이스   파스타
슈케익하우스,간식 기념일 가성비좋은 가성비좋은 가성비좋은 가성비좋은 서민적인 깔끔한 ,수원역 | 케익   빵집
안경할머니곱창,저녁식사 시끌벅적한 시끌벅적한 푸짐한 숨은맛집 캐주얼한 서민적인 ,수원역 | 막창   곱창
육풍,데이트 데이트 저녁식사 저녁식사 식사모임 회식 술모임 가족외식 점심식사 시끌벅적한 시끌벅적한 시끌벅적한 캐주얼한 캐주얼한 깔끔한 깔끔한 고급스러운 서민적인 지역주민이찾는 가성비좋은 ,수원역 | 삼겹살   생삼겹살
버거킹,혼밥 점심식사 간식 시끌벅적한 시끌벅적한 가성비좋은 캐주얼한 ,수원역 | 버거
피에프창 수원점,데이트 점심식사 식사모임 저녁식사 이국적/이색적 이국적/이색적 푸짐한 캐주얼한 서민적인 깔끔한 ,수원역 | 퓨전중식   레스토랑
한신포차,회식 술모임 데이트 저녁식사 시끌벅적한 시끌벅적한 시끌벅적한 푸짐한 푸짐한 서민적인 서민적인 캐주얼한 ,수원역 | 닭발   국물닭발
탕화쿵푸마라탕,점심식사 저녁식사 숨은맛집 조용한 캐주얼한 서민적인 이국적/이색적 ,수원역 | 마라탕   중국식샤브샤브
대가주점,점심식사 술모임 저녁식사 시끌벅적한 시끌벅적한 캐주얼한 숨은맛집 서민적인 지역주민이찾는 ,수원역 | 매운갈비찜   매운돼지갈비
키노이스,깔끔한 숨은맛집 예쁜 조용한 ,수원역 | 카페
촉도대하,점심식사 저녁식사 지역주민이찾는 이국적/이색적 서민적인 숨은맛집 ,수원역 | 마라새우   사천요리
퍼틴 AK플라자수원점,점심식사 깔끔한 깔끔한 시끌벅적한 서민적인 ,수원 | 베트남음식
쿠우쿠우 수원점,저녁식사 점심식사 식사모임 가족외식 서민적인 서민적인 서민적인 깔끔한 깔끔한 가성비좋은 가성비좋은 푸짐한 푸짐한 시끌벅적한 ,수원역 | 초밥뷔페   초밥
빌리엔젤 롯데몰수원점,간식 데이트 깔끔한 깔끔한 예쁜 캐주얼한 조용한 ,수원 | 크레이프케이크   케이크
동대문엽기떡볶이,저녁식사 점심식사 캐주얼한 캐주얼한 시끌벅적한 시끌벅적한 깔끔한 푸짐한 서민적인 가성비좋은 숨은맛집 ,수원역 | 국물닭발   떡볶이
수엠부,저녁식사 데이트 점심식사 식사모임 이국적/이색적 푸짐한 캐주얼한 조용한 ,수원역 | 인도요리   사모사
코코이찌방야,점심식사 데이트 이국적/이색적 가성비좋은 캐주얼한 ,수원 | 카레전문   카레
김영모과자점,,수원 | 과자점   제과점
육쌈냉면,점심식사 저녁식사 조용한 캐주얼한 깔끔한 서민적인 ,수원역 | 냉면   숯불고기
라롬드뺑,,수원역 | 빵집   에그타르트
맘스터치 수원역점,가성비좋은 캐주얼한 ,수원역 | 치킨버거   치킨
씨즐링스톤,조용한 ,수원역 | 스테이크   투움바파스타
르사이공 롯데몰수원점,점심식사 저녁식사 식사모임 서민적인 서민적인 조용한 캐주얼한 푸짐한 시끌벅적한 ,수원역 | 쌀국수   베트남음식
노마세야 매운갈비찜,점심식사 캐주얼한 캐주얼한 서민적인 ,수원역 | 매운갈비찜   갈비찜
쩐주단 수원역점,간식 캐주얼한 캐주얼한 가성비좋은 깔끔한 ,수원역 | 흑당버블티   흑당밀크티
그레이트 히말라야,점심식사 가족외식 저녁식사 이국적/이색적 이국적/이색적 푸짐한 예쁜 조용한 ,수원역 | 인도요리   네팔
땅땅치킨 수원역점,서민적인 서민적인 숨은맛집 시끌벅적한 깔끔한 ,수원역 | 치맥   치킨
이자와,저녁식사 데이트 조용한 깔끔한 예쁜 ,수원역 | 규카츠   일본
금돈곱창전골,저녁식사 시끌벅적한 시끌벅적한 서민적인 서민적인 가성비좋은 ,수원역 | 곱창전골   돼지곱창전골
청키면가 롯백수원점,점심식사 깔끔한 시끌벅적한 서민적인 이국적/이색적 ,수원 | 완탕면   새우완탕
라메이즈 마라탕,점심식사 서민적인 서민적인 서민적인 이국적/이색적 숨은맛집 시끌벅적한 ,매산로1가 | 마라탕   양고기
딘타이펑,점심식사 점심식사 저녁식사 이국적/이색적 시끌벅적한 조용한 서민적인 ,수원 | 샤오롱바오   딤섬
매드포갈릭,캐주얼한 깔끔한 ,수원 | 스테이크   립아이스테이크
고디바,,수원 | 다크초콜릿   아이스크림
더스퀘어,고급스러운 푸짐한 깔끔한 격식있는 시끌벅적한 ,수원 | 뷔페   호텔뷔페
24박영식등뼈찌개,서민적인 가성비좋은 캐주얼한 ,수원역 | 등뼈찌개   해물
청년다방 수원로데오점,점심식사 캐주얼한 캐주얼한 서민적인 시끌벅적한 푸짐한 ,수원역 | 즉석떡볶이   떡볶이
언올드첨,데이트 간식 예쁜 예쁜 조용한 조용한 캐주얼한 숨은맛집 깔끔한 이국적/이색적 고급스러운 푸짐한 ,수원역 | 커피   카페
화덕초대파불고기,,수원역 | 불고기   고추장불고기
카페 디바인,깔끔한 캐주얼한 ,수원 | 커피   카페
하오쿵푸 마라탕,점심식사 저녁식사 서민적인 서민적인 캐주얼한 ,수원역 | 마라탕   마라샹궈
포베이,조용한 ,수원역 | 쌀국수   양지쌀국수
미미짬뽕,서민적인 ,수원 | 짬뽕   탕수육
교토가츠규,깔끔한 ,수원역 | 규카츠   살치살
부추삼겹살,저녁식사 저녁식사 식사모임 술모임 시끌벅적한 시끌벅적한 시끌벅적한 시끌벅적한 서민적인 캐주얼한 ,수원역 | 부추삼겹살   삼겹살
칠보면옥,점심식사 서민적인 깔끔한 ,수원역 | 냉면   회냉면
바른스시,가성비좋은 깔끔한 ,수원역 | 초밥   일식집
알리바바 버거,캐주얼한 ,수원역 | 수제버거   햄버거
아비꼬,저녁식사 저녁식사 점심식사 데이트 서민적인 서민적인 캐주얼한 캐주얼한 조용한 ,수원역 | 카레전문   일본카레
은주주식회사,숨은맛집 조용한 가성비좋은 ,수원역 | 닭볶음탕
다쯔미스시,가성비좋은 ,수원역 | 회전초밥   스시
압구정곱떡 수원역점,점심식사 깔끔한 깔끔한 시끌벅적한 서민적인 지역주민이찾는 ,수원역 | 곱창떡볶이   떡볶이
바네스타코,점심식사 저녁식사 이국적/이색적 이국적/이색적 캐주얼한 시끌벅적한 ,수원롯데몰 | 멕시코요리   멕시코
골든키친,깔끔한 ,수원역 | 즉석떡볶이   라면
공차 수원롯데몰점,깔끔한 ,수원역 | 버블티
송화강반점,이국적/이색적 숨은맛집 ,수원역 | 양꼬치   중국요리
역전우동0410,저녁식사 점심식사 혼밥 서민적인 서민적인 가성비좋은 깔끔한 캐주얼한 조용한 ,수원역 | 우동   돈까스덮밥
홍익돈까스,저녁식사 점심식사 가성비좋은 가성비좋은 캐주얼한 시끌벅적한 서민적인 ,수원역 | 왕돈까스   돈까스
면채반,깔끔한 조용한 ,수원 | 냉면   바지락칼국수
잔잔,시끌벅적한 서민적인 ,수원역 | 이자카야   술집
라매자,숨은맛집 ,수원역 | 마라샹궈   훠궈
제일제면소,점심식사 시끌벅적한 서민적인 깔끔한 ,수원역 | 면요리   우동
페리아,,수원역 | 레스토랑   펍
신림춘천집 수원역점,푸짐한 캐주얼한 ,수원 | 닭갈비
르레브,서민적인 조용한 캐주얼한 ,수원역 | 커피   카페
탐앤탐스 수원역점,가성비좋은 캐주얼한 깔끔한 ,수원역 | 카페
BHC 치킨,저녁식사 술모임 캐주얼한 캐주얼한 시끌벅적한 ,수원역 | 커리   치킨
그래인스쿠키 AK플라자수원점,예쁜 고급스러운 ,수원역 | 쿠키
